datetime,packagenme/activity,this_time(s),total_time(s),launchtype
2023-05-23 15-19-46,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-20-00,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-20-05,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-20-26,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-09,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-09,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-09,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-09,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-09,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-09,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-09,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-09,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-34,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-34,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-34,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-34,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-36,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-36,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-36,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-36,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-36,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-36,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-36,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-36,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-37,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-37,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-37,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-37,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-37,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-37,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-37,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-37,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-39,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-39,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-39,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-39,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-39,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-39,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-39,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-39,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-41,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-41,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-41,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-41,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-41,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-41,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-41,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-41,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-42,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-42,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-42,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-42,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-42,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-42,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-42,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-42,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-42,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-42,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-42,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-42,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-43,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-43,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-43,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-43,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-44,com.divo.phone/.MainActivity,0.4,0.4,normal launch
2023-05-23 15-25-44,com.divo.phone/.MainActivity,0.11,0.11,normal launch
2023-05-23 15-25-44,com.jx.watchos.contact/.MainActivity,0.47,0.47,normal launch
2023-05-23 15-25-44,com.jx.watchos.contact/.MainActivity,0.19,0.19,normal launch
2023-05-23 15-25-44,com.divo.phone/.MainActivity,0.4,0.4,normal launch
