datatime,package,pid,pss,java_heap,native_heap,system
2023-05-23 15-19-45,com.divo.phone,11554,3.88,0.23,0.48,2.64
2023-05-23 15-19-50,com.divo.phone,11554,11.33,1.15,3.57,5.47
2023-05-23 15-19-55,com.divo.phone,11554,11.37,1.04,3.61,5.61
2023-05-23 15-20-00,com.divo.phone,11554,11.61,1.06,3.68,5.74
2023-05-23 15-20-05,com.divo.phone,11554,11.18,1.0,3.76,5.29
2023-05-23 15-20-10,com.divo.phone,11554,11.08,0.93,3.77,5.28
2023-05-23 15-20-15,com.divo.phone,11554,11.17,1.01,3.8,5.28
2023-05-23 15-20-20,com.divo.phone,11554,11.4,1.12,3.91,5.29
2023-05-23 15-20-25,com.divo.phone,11554,12.95,1.06,4.98,5.76
2023-05-23 15-20-30,com.divo.phone,11554,12.91,1.2,4.82,5.75
2023-05-23 15-20-35,com.divo.phone,11554,12.68,1.04,4.75,5.75
2023-05-23 15-20-40,com.divo.phone,11554,12.85,1.16,4.8,5.75
2023-05-23 15-20-45,com.divo.phone,11554,12.66,1.09,4.68,5.75
2023-05-23 15-20-50,com.divo.phone,11554,12.63,1.06,4.66,5.75
2023-05-23 15-20-55,com.divo.phone,11554,12.61,1.06,4.67,5.75
2023-05-23 15-21-00,com.divo.phone,11554,12.62,1.06,4.68,5.75
2023-05-23 15-21-05,com.divo.phone,11554,12.63,1.06,4.68,5.75
2023-05-23 15-21-10,com.divo.phone,11554,12.64,1.06,4.69,5.75
2023-05-23 15-21-15,com.divo.phone,11554,12.65,1.06,4.7,5.75
2023-05-23 15-21-20,com.divo.phone,11554,12.65,1.06,4.71,5.75
2023-05-23 15-21-25,com.divo.phone,11554,12.66,1.06,4.71,5.75
2023-05-23 15-21-30,com.divo.phone,11554,12.67,1.06,4.72,5.75
2023-05-23 15-21-35,com.divo.phone,11554,12.68,1.06,4.73,5.75
2023-05-23 15-21-40,com.divo.phone,11554,12.68,1.06,4.74,5.75
2023-05-23 15-21-45,com.divo.phone,11554,12.69,1.06,4.75,5.75
2023-05-23 15-21-51,com.divo.phone,11554,12.7,1.06,4.75,5.75
