datetime,packagename,uid,uid_total(KB),uid_total_packets,rx(KB),rx_packets,tx(KB),tx_packets,fg(KB),bg(KB),lo(KB)
2023-05-23 15-18-55,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-00,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-05,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-10,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-15,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-20,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-25,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-30,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-35,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-40,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-45,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-50,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-19-55,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-00,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-05,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-10,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-15,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-20,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-25,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-30,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-35,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-40,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-45,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-51,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-20-56,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-01,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-06,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-11,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-16,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-21,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-26,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-31,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-36,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-41,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-46,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-51,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-21-56,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-01,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-06,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-11,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-16,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-21,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-26,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-31,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-36,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-41,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-46,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-51,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-22-56,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-01,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-06,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-11,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-16,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-21,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-26,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-31,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-36,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-41,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-46,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-51,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-23-56,com.divo.phone,1000,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2023-05-23 15-24-01,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-06,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-11,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-16,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-21,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-26,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-31,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-36,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-41,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-46,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-51,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-24-56,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-01,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-06,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-11,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-16,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-21,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-26,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-31,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-36,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-41,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-46,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-51,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-25-56,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-01,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-06,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-11,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-16,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-21,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-26,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-31,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-36,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-41,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-46,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-51,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-26-56,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-01,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-06,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-11,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-16,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-21,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-26,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-31,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-36,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-41,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-46,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-51,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-27-56,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-28-01,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-28-06,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-28-11,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-28-16,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-28-21,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-28-26,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-28-31,com.divo.phone,1000,0.66,2,0.32,1,0.34,1,0.0,0.66,0.0
2023-05-23 15-28-36,com.divo.phone,1000,3.33,12,1.73,5,1.6,7,0.0,3.33,0.0
2023-05-23 15-28-41,com.divo.phone,1000,3.33,12,1.73,5,1.6,7,0.0,3.33,0.0
2023-05-23 15-28-46,com.divo.phone,1000,3.33,12,1.73,5,1.6,7,0.0,3.33,0.0
2023-05-23 15-28-51,com.divo.phone,1000,3.33,12,1.73,5,1.6,7,0.0,3.33,0.0
